Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
971	Spectrogram 1	1	20210316_144618.WAV	1132.0	1135.0	150	15000	eurrob1	European Robin	0.2859185782080191	3
972	Spectrogram 1	1	20210316_144618.WAV	1134.0	1137.0	150	15000	comcra	Common Crane	0.5011994919964642	1
973	Spectrogram 1	1	20210316_144618.WAV	1134.0	1137.0	150	15000	tawowl1	Tawny Owl	0.39018230419634653	2
974	Spectrogram 1	1	20210316_144618.WAV	1134.0	1137.0	150	15000	comrav	Common Raven	0.32088874679661705	3
975	Spectrogram 1	1	20210316_144618.WAV	1136.0	1139.0	150	15000	tawowl1	Tawny Owl	0.3308371762789567	1
976	Spectrogram 1	1	20210316_144618.WAV	1136.0	1139.0	150	15000	comcra	Common Crane	0.32093382685626615	2
977	Spectrogram 1	1	20210316_144618.WAV	1136.0	1139.0	150	15000	rinphe	Ring-necked Pheasant	0.24319523402736296	3
978	Spectrogram 1	1	20210316_144618.WAV	1138.0	1141.0	150	15000	eurtre1	Eurasian Treecreeper	0.32817738847662115	1
979	Spectrogram 1	1	20210316_144618.WAV	1138.0	1141.0	150	15000	norgos	Northern Goshawk	0.29753645207743384	2
980	Spectrogram 1	1	20210316_144618.WAV	1138.0	1141.0	150	15000	woowar	Wood Warbler	0.2925603374724069	3
981	Spectrogram 1	1	20210316_144618.WAV	1086.0	1089.0	150	15000	wlwwar	Willow Warbler	0.3483502396382107	1
982	Spectrogram 1	1	20210316_144618.WAV	1086.0	1089.0	150	15000	gretit1	Great Tit	0.347061855283063	2
983	Spectrogram 1	1	20210316_144618.WAV	1086.0	1089.0	150	15000	comred2	Common Redstart	0.34536448199196285	3
984	Spectrogram 1	1	20210316_144618.WAV	1088.0	1091.0	150	15000	misthr1	Mistle Thrush	0.4689295029777764	1
985	Spectrogram 1	1	20210316_144618.WAV	1088.0	1091.0	150	15000	wlwwar	Willow Warbler	0.34673232982330215	2
986	Spectrogram 1	1	20210316_144618.WAV	1088.0	1091.0	150	15000	webwar1	Western Bonelli's Warbler	0.34262163079079316	3
987	Spectrogram 1	1	20210316_144618.WAV	1140.0	1143.0	150	15000	eurtre1	Eurasian Treecreeper	0.3501838263171184	1
988	Spectrogram 1	1	20210316_144618.WAV	1140.0	1143.0	150	15000	norgos	Northern Goshawk	0.2901049374442005	2
989	Spectrogram 1	1	20210316_144618.WAV	1140.0	1143.0	150	15000	goldcr1	Goldcrest	0.2885218589459259	3
990	Spectrogram 1	1	20210316_144618.WAV	1150.0	1153.0	150	15000	wlwwar	Willow Warbler	0.3396492135520235	1
991	Spectrogram 1	1	20210316_144618.WAV	1150.0	1153.0	150	15000	blutit	Eurasian Blue Tit	0.3374485093386275	2
992	Spectrogram 1	1	20210316_144618.WAV	1150.0	1153.0	150	15000	yellow2	Yellowhammer	0.33451371275886566	3
993	Spectrogram 1	1	20210316_144618.WAV	1152.0	1155.0	150	15000	eurtre1	Eurasian Treecreeper	0.2549084743661557	1
994	Spectrogram 1	1	20210316_144618.WAV	1152.0	1155.0	150	15000	norgos	Northern Goshawk	0.24084742392143063	2
995	Spectrogram 1	1	20210316_144618.WAV	1152.0	1155.0	150	15000	gyfwoo1	Gray-headed Woodpecker	0.2375181247103557	3
996	Spectrogram 1	1	20210316_144618.WAV	1154.0	1157.0	150	15000	tawowl1	Tawny Owl	0.6149824413177012	1
997	Spectrogram 1	1	20210316_144618.WAV	1154.0	1157.0	150	15000	comcra	Common Crane	0.27806928873126885	2
998	Spectrogram 1	1	20210316_144618.WAV	1154.0	1157.0	150	15000	yelgul1	Yellow-legged Gull	0.26155196765899996	3
999	Spectrogram 1	1	20210316_144618.WAV	1156.0	1159.0	150	15000	perfal	Peregrine Falcon	0.36492322568172814	1
1000	Spectrogram 1	1	20210316_144618.WAV	1156.0	1159.0	150	15000	norgos	Northern Goshawk	0.3583171816055105	2
